acl 2.2.53-1
acpid 2.0.32-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.0-1
alsa-lib 1.1.9-2
alsa-utils 1.1.9-1
aom 1.0.0.errata1-1
archlinux-keyring 20191011-1
argon2 20190702-1
aspell 0.60.7-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
attr 2.4.48-1
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
babl 0.1.72-1
base 2-1
bash 5.0.011-1
bc 1.07.1-3
binutils 2.32-3
bison 3.4.2-1
blas 3.8.0-2
bluez-libs 5.51-2
boost-libs 1.71.0-2
brightnessctl 0.4-3
brotli 1.0.7-1
btrfs-progs 5.2.2-1
bubblewrap 0.3.3-3
bzip2 1.0.8-2
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.46.1-1
ca-certificates-utils 20181109-1
cairo 1.17.2+17+g52a7c79fd-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
celt0.5.1 0.5.1.3-4
cifs-utils 6.8-2
clucene 2.3.3.4-10
cmake 3.15.4-1
code 1.39.1-2
colord 1.4.4+9+g1ce26da-1
coreutils 8.31-2
cracklib 2.9.7-1
cronie 1.5.4-3
cryptsetup 2.2.1-1
cups 2.3.0-3
cups-filters 1.25.11-1
curl 7.66.0-1
dav1d 0.4.0-1
db 5.3.28-4
dbus 1.12.16-2
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
dhcpcd 8.0.6-1
dialog 1:1.3_20190808-1
diffutils 3.7-2
dkms 2.7.1-1
dmenu 4.9-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20190629-1
dosfstools 4.1-2
double-conversion 3.1.5-1
dropbox 82.4.155-1
e2fsprogs 1.45.4-1
efibootmgr 16-1
efivar 37-1
electron4 4.2.11-1
enchant 2.2.7-1
exempi 2.5.1-1
exiv2 0.27.2-1
expat 2.2.9-1
fakeroot 1.24-1
feh 3.2.1-1
ffmpeg 1:4.2.1-2
fftw 3.3.8-1
file 5.37-3
filesystem 2019.10-1
findutils 4.7.0-1
firefox 69.0.3-1
firefox-i18n-de 69.0.3-1
flac 1.3.3-1
flex 2.6.4-2
fontconfig 2:2.13.91+24+g75eadca-1
freetype2 2.10.1-1
fribidi 1.0.7-1
fuse-common 3.7.0-1
fuse2 2.9.9-3
fuse3 3.7.0-1
gawk 5.0.1-1
gc 8.0.4-2
gcc 9.2.0-2
gcc-libs 9.2.0-2
gconf 3.2.6+11+g07808097-4
gcr 3.34.0-1
gdbm 1.18.1-2
gdk-pixbuf2 2.40.0-1
gedit 3.34.0-1
gegl 0.4.16-2
gendesk 1.0.4-1
gettext 0.20.1-2
giblib 1.2.4-7
giflib 5.2.1-1
gimp 2.10.12-3
girara 0.3.3-1
git 2.23.0-1
glib-networking 2.62.1-1
glib2 2.62.1-1
glibc 2.30-1
glibmm 2.62.0-1
glslang 7.12.3352-1
glu 9.0.1-1
gmp 6.1.2-2
gnome-autoar 0.2.4-1
gnome-desktop 1:3.34.1-1
gnu-free-fonts 20120503-7
gnupg 2.2.17-2
gnutls 3.6.10-1
gobject-introspection-runtime 1.62.0-1
gpgme 1.13.1-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphite 1:1.3.13-2
grep 3.3-2
groff 1.22.4-1
grub 2:2.04-2
grub-customizer 5.1.0-1
gsettings-desktop-schemas 3.34.0-1
gsfonts 20180524-2
gsm 1.0.18-1
gspell 1.8.2-1
gst-plugins-base-libs 1.16.1-1
gstreamer 1.16.1-1
gtk-update-icon-cache 1:3.24.12-1
gtk2 2.24.32-1
gtk3 1:3.24.12-1
gtkmm3 3.24.1-1
gtksourceview4 4.4.0-1
guile 2.2.6-1
gupnp-dlna 0.10.5+4+gc947eed-1
gvfs 1.42.1-1
gzip 1.10-2
harfbuzz 2.6.2-1
harfbuzz-icu 2.6.2-1
hicolor-icon-theme 0.17-1
hspell 1.4-2
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20190818-1
hyphen 2.8.8-2
i3-gaps 4.17.1-1
i3lock 2.12-1
iana-etc 20190930-1
icu 64.2-1
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.68-1
imlib2 1.5.1-1
inetutils 1.9.4-7
intel-tbb 2019.9-1
intel-ucode 20190918-1
iproute2 5.3.0-1
iptables 1:1.8.3-1
iputils 20190709-1
iso-codes 4.3-1
jack 0.125.0-8
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-1
java-openjdk-bin 13b33-2
java-runtime-common 3-1
jbig2dec 0.16-1
jetbrains-toolbox 1.15.5796-1
js60 60.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.9.1-1
kbd 2.2.0-4
keyutils 1.6.1-1
kmod 26-2
krb5 1.17-1
l-smash 2.14.5-1
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-2
ldb 1:1.5.5-1
ldns 1.7.1-1
lensfun 0.3.2-7
less 551-2
libabw 0.1.3-1
libaio 0.3.112-1
libarchive 3.4.0-2
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.22-1
libbluray 1.1.2-1
libbsd 0.9.1-1
libbytesize 2.1-1
libcaca 0.99.beta19-2
libcanberra 0.30+2+gc0620e4-2
libcap 2.27-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.0-2
libcdr 0.1.5-2
libcmis 0.5.2-3
libcroco 0.6.13-1
libcue 2.2.1-1
libcups 2.3.0-3
libcurl-gnutls 7.66.0-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libde265 1.0.3-1
libdrm 2.4.99-1
libdvdnav 6.0.0-1
libdvdread 6.0.1-1
libe-book 0.1.3-5
libedit 20190324_3.1-1
libelf 0.177-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.9-1
libev 4.27-1
libevdev 1.8.0-1
libevent 2.1.11-2
libexif 0.6.21-3
libexttextcat 3.4.5-1
libffi 3.2.1-3
libfontenc 1.1.4-1
libfreehand 0.1.2-2
libgcrypt 1.8.5-1
libgexiv2 0.12.0-2
libglade 2.6.4-6
libglvnd 1.2.0-2
libgpg-error 1.36-2
libgrss 0.7.0+16+g971c421-2
libgsf 1.14.46+3+g7f927f0-1
libgudev 233-1
libgusb 0.3.0-1
libgxps 0.3.1-1
libheif 1.5.1-1
libibus 1.5.21-1
libice 1.0.10-1
libid3tag 0.15.1b-9
libidn2 2.2.0-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+87+g92c5462-1
libinput 1.14.1-1
libiptcdata 1.0.4-4
libixion 0.14.1-3
libjpeg-turbo 2.0.3-1
libksba 1.3.5-1
liblangtag 0.6.3-1
libldap 2.4.48-1
liblouis 3.11.0-1
liblqr 0.4.2-2
libmm-glib 1.10.6-1
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmpc 1.1.0-1
libmpdclient 2.16-1
libmspub 0.1.4-5
libmwaw 0.3.15-1
libmypaint 1.4.0-1
libnautilus-extension 3.34.1-1
libndp 1.7-1
libnet 1.1.6-3
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-1
libnfnetlink 1.0.1-3
libnftnl 1.1.4-1
libnghttp2 1.39.2-1
libnl 3.5.0-1
libnm 1.20.4-1
libnma 1.8.24-1
libnotify 0.7.8-1
libnsl 1.2.0-1
libnumbertext 1.0.5-1
libodfgen 0.1.7-1
libogg 1.3.4-1
libomxil-bellagio 0.9.3-2
liborcus 0.14.1-3
libosinfo 1.6.0-1
libpagemaker 0.0.4-1
libpaper 1.1.24-11
libpcap 1.9.1-1
libpciaccess 0.16-1
libpeas 1.24.0-1
libpgm 5.2.122-4
libpipeline 1.5.1-1
libplacebo 1.18.0-2
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.37-1
libproxy 0.4.15-10
libpsl 0.21.0-1
libpulse 13.0-2
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libqxp 0.0.2-2
libraqm 0.7.0-1
libraw 0.19.5-2
libraw1394 2.1.2-2
libreoffice-fresh 6.3.2-2
libreoffice-fresh-de 6.3.2-1
librevenge 0.0.4-2
librsvg 2:2.46.2-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libseccomp 2.4.1-2
libsecret 0.19.1-1
libsigc++ 2.10.2-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.18-1
libsoup 2.68.2-1
libsoxr 0.1.3-1
libspiro 1:20190731-1
libssh 0.9.0-1
libssh2 1.9.0-1
libstaroffice 0.0.6-1
libstemmer 0+713-1
libsynctex 2019.51075-3
libtasn1 4.14-2
libteam 1.29-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtommath 1.1.0-1
libtool 2.4.6+42+gb88cebd5-6
libunistring 0.9.10-1
libunwind 1.3.1-1
libusb 1.0.23-1
